2011/1/16,2011/1/21,2,E.O.L,6
2011/2/1,2011/2/6,2,E.O.L,6
2011/2/20,2011/2/23,2,E.O.L,4
2011/2/26,2011/2/26,2,E.O.L,1
2011/3/7,2011/3/8,2,E.O.L,2
2011/3/14,2011/3/15,2,E.O.L,2
2011/3/26,2011/3/31,2,E.O.L,6
2011/4/22,2011/4/26,2,E.O.L,5
2011/8/8,2011/8/11,2,E.O.L,4
2011/8/16,2011/8/16,2,E.O.L,1
2011/8/22,2011/8/23,2,E.O.L,2
2011/10/16,2011/10/18,2,E.O.L,3
2011/10/25,2011/10/28,2,E.O.L,4
2011/11/5,2011/11/12,2,E.O.L,8
2012/1/28,2012/1/28,0,Basanta Panchami & Saraswati Puja,1
2012/2/6,2012/2/6,0,Birthday of Prophet Mohammed,1
2012/2/20,2012/2/20,0,Maha Shivratri,1
2012/4/6,2012/4/6,0,Good Friday,1
2012/3/8,2012/3/8,0,Dola Purnima,1
2012/3/9,2012/3/9,0,Holi,1
2012/4/13,2012/4/13,0,Maha Visuba Sankranti,1
2012/6/14,2012/6/14,0,Pahili Raja,1
2012/6/15,2012/6/15,0,Raja Sankranti,1
2012/6/21,2012/6/21,0,Ratha Yatra,1
2012/8/9,2012/8/9,0,Janmastami,1
2012/8/20,2012/8/20,0,Id-Ul-Fitre,1
2012/9/19,2012/9/19,0,Ganesh Puja,1
2012/9/20,2012/9/20,0,Nuakhai,1
2012/10/15,2012/10/15,0,Mahalaya,1
2012/10/21,2012/10/21,0,Maha Saptami,1
2012/10/22,2012/10/22,0,Maha Astami,1
2012/10/23,2012/10/23,0,Maha Navami,1
2012/10/24,2012/10/24,0,Vijaya Dashami,1
2012/10/27,2012/10/27,0,Id-Ul-Zuha,1
2012/10/29,2012/10/29,0,Kumar Purnima & Mahalaxmi Puja,1
2012/11/10,2012/11/21,2,E.O.L,12
2012/11/13,2012/11/13,0,Kali Puja & Diwali,1
2012/11/25,2012/11/25,0,Moharrum,1
2012/11/28,2012/11/28,0,Rasa Purnima,1
2013/1/8,2013/1/11,2,E.O.L,4
2013/1/25,2013/1/25,0,B'Day of Prophet Mohammed,1
2013/2/15,2013/2/15,0,Basanta Panchami & Saraswati Puja,1
2013/2/18,2013/2/18,2,E.O.L,1
2013/3/10,2013/3/10,0,Maha Shivratri,1
2013/3/27,2013/3/27,0,Dola Purnima,1
2013/3/28,2013/3/28,0,Holi,1
2013/3/29,2013/3/29,0,Good Friday,1
2013/4/1,2013/4/7,2,E.O.L,7
2013/4/14,2013/4/14,0,Maha Visuba Sankranti,1
2013/4/19,2013/4/25,2,E.O.L,7
2013/4/19,2013/4/19,0,Shreeram Navami,1
2013/5/19,2013/5/31,2,E.O.L,13
2013/6/1,2013/6/4,2,E.O.L,4
2013/6/14,2013/6/14,0,Pahili Raja,1
2013/6/15,2013/6/15,0,Raja Sankranti,1
2013/6/22,2013/6/26,2,E.O.L,5
2013/7/4,2013/7/14,2,E.O.L,11
2013/7/10,2013/7/10,0,Ratha Yatra,1
2013/8/9,2013/8/9,0,Id-Ul-Fitre,1
2013/8/25,2013/8/31,2,E.O.L,7
2013/8/28,2013/8/28,0,Janmastami,1
2013/9/9,2013/9/9,0,Ganesh Puja,1
2013/9/10,2013/9/10,0,Nuakhai,1
2013/10/4,2013/10/4,0,Mahalaya,1
2013/10/11,2013/10/11,0,Maha Saptami,1
2013/10/12,2013/10/12,0,Maha Astami,1
2013/10/13,2013/10/13,0,Maha Navami,1
2013/10/14,2013/10/14,0,Vijaya Dashami,1
2013/10/16,2013/10/16,0,Id-Ul-Zuha,1
2013/10/18,2013/10/18,0,Kumar Purnima & Laxmi Puja,1
2013/11/1,2013/11/10,2,E.O.L,10
2013/11/2,2013/11/2,0,Kali Puja,1
2013/11/3,2013/11/3,0,Diwali,1
2013/11/14,2013/11/14,0,Moharrum,1
2013/11/17,2013/11/19,2,E.O.L,3
2013/11/17,2013/11/17,0,Rasa Purnima,1
2014/1/14,2014/1/14,0,Birthday of Prophet Muhammed,1
2014/2/4,2014/2/4,0,Basanta Panchami & Saraswati Puja,1
2014/2/27,2014/2/27,0,Maha Shivaratri,1
2014/3/1,2014/3/1,2,E.O.L,1
2014/3/16,2014/3/16,0,Dola Purnima,1
2014/3/17,2014/3/17,0,Holi,1
2014/3/24,2014/3/31,2,E.O.L,8
2014/4/8,2014/4/8,0,Shreeram Navami,1
2014/4/14,2014/4/14,0,Mahavisuba Sankranti,1
2014/4/18,2014/4/18,0,Good Friday,1
2014/5/10,2014/5/14,2,E.O.L,5
2014/5/18,2014/5/21,2,E.O.L,4
2014/6/1,2014/6/8,2,E.O.L,8
2014/6/14,2014/6/14,0,Pahili Raja,1
2014/6/15,2014/6/15,0,Raja Sankranti,1
2014/6/22,2014/6/25,2,E.O.L,4
2014/6/29,2014/6/29,0,Ratha Yatra,1
2014/7/3,2014/7/3,2,E.O.L,1
2014/7/9,2014/7/10,2,E.O.L,2
2014/7/15,2014/7/20,2,E.O.L,6
2014/7/29,2014/7/29,0,Id-Ul-Fitre,1
2014/7/30,2014/7/30,2,E.O.L,1
2014/8/17,2014/8/17,0,Janmastami,1
2014/8/29,2014/8/29,0,Ganesh Puja,1
2014/8/30,2014/8/30,0,Nuakhai,1
2014/9/23,2014/9/23,0,Mahalaya,1
2014/10/1,2014/10/1,0,Maha Saptami,1
2014/10/2,2014/10/2,0,Maha Astami,1
2014/10/3,2014/10/3,0,Maha Navami,1
2014/10/4,2014/10/4,0,Vijaya Dashami,1
2014/10/6,2014/10/6,0,Id-Ul-Zuha,1
2014/10/7,2014/10/7,0,Kumar Purnima & Mahalaxmi Puja,1
2014/10/23,2014/10/23,0,Kali Puja & Diwali,1
2014/11/4,2014/11/4,0,Moharrum,1
2014/11/6,2014/11/6,0,Rasa Purnima,1
2015/1/4,2015/1/4,0,Birthday of Prophet Mohammed,1
2015/1/23,2015/1/31,2,E.O.L,9
2015/1/24,2015/1/24,0,Basanta Panchami & Saraswati Puja,1
2015/2/17,2015/2/17,0,Maha Shivratri,1
2015/3/5,2015/3/5,0,Dola Purnima,1
2015/3/6,2015/3/6,0,Holi,1
2015/3/28,2015/3/28,0,Sriram Navami,1
2015/4/3,2015/4/3,0,Good Friday,1
2015/4/14,2015/4/14,0,Maha Visuba Sankranti,1
2015/6/14,2015/6/14,0,Pahili Raja,1
2015/6/15,2015/6/15,0,Raja Sankranti,1
2015/7/18,2015/7/18,0,Ratha Yatra,1
2015/7/18,2015/7/18,0,Id-Ul-Fitre,1
2015/9/5,2015/9/5,0,Janmastami,1
2015/9/17,2015/9/17,0,Ganesh Puja,1
2015/9/18,2015/9/18,0,Nuakhai,1
2015/9/24,2015/9/24,0,Id-Ul-Zuha,1
2015/10/12,2015/10/12,0,Mahalaya,1
2015/10/20,2015/10/20,0,Maha Saptami,1
2015/10/21,2015/10/21,0,Maha Ashtami,1
2015/10/22,2015/10/22,0,Maha Navami,1
2015/10/23,2015/10/23,0,Vijaya Dashami,1
2015/10/24,2015/10/24,0,Muharram,1
2015/10/27,2015/10/27,0,Kumar Purnima & Maha Laxmi Puja,1
2015/11/10,2015/11/10,0,Kali Puja,1
2015/11/11,2015/11/11,0,Diwali,1
2015/11/16,2015/11/17,1,E.L,2
2015/11/25,2015/11/25,0,Rasa Purnima,1
2015/12/7,2015/12/8,1,E.L,2
2015/12/26,2015/12/29,1,E.L,4
